iteration,time,bestobj
646,6.09179,24939
647,6.11645,24939
648,6.1271,24939
649,6.13497,24939
650,6.14279,24939
651,6.15069,24939
652,6.15927,24939
653,6.16794,24939
654,6.17743,24939
655,6.18578,24939
656,6.19557,24939
657,6.20429,24939
658,6.26071,24939
659,6.29353,24939
660,6.31729,24939
661,6.35533,24939
662,6.37868,24939
663,6.40298,24939
664,6.42498,24939
665,6.45855,24939
666,6.48767,24939
667,6.54384,24939
668,6.56135,24939
669,6.60154,24939
670,6.64072,24939
671,6.66949,24939
672,6.69747,24939
673,6.72265,24939
674,6.7548,24939
675,6.77568,24939
676,6.80766,24939
677,6.83154,24939
678,6.86431,24939
679,6.88961,24939
680,6.90693,24939
681,6.9262,24939
682,6.9352,24939
683,6.94677,24939
684,6.95608,24939
685,6.96823,24939
686,6.97874,24939
687,6.98722,24939
688,6.99652,24939
689,7.00517,24939
690,7.01424,24939
691,7.02346,24939
692,7.03197,24939
693,7.03955,24939
694,7.04686,24939
695,7.05423,24939
696,7.06146,24939
697,7.06837,24939
698,7.07544,24939
699,7.08239,24939
700,7.08934,24939
701,7.09648,24939
702,7.10337,24939
703,7.11044,24939
704,7.11761,24939
705,7.12459,24939
706,7.13183,24939
707,7.13908,24939
708,7.14607,24939
709,7.15293,24939
710,7.16011,24939
711,7.16712,24939
712,7.17399,24939
713,7.18102,24939
714,7.18769,24939
715,7.19469,24939
716,7.20144,24939
717,7.21033,24939
718,7.2186,24939
719,7.22579,24939
720,7.23384,24939
721,7.24118,24939
722,7.24858,24939
723,7.25601,24939
724,7.26323,24939
725,7.27068,24939
726,7.27826,24939
727,7.28562,24939
728,7.29256,24939
729,7.29985,24939
730,7.3067,24939
731,7.3138,24939
732,7.32112,24939
733,7.32813,24939
734,7.33549,24939
735,7.34263,24939
736,7.34936,24939
737,7.35678,24939
738,7.36379,24939
739,7.37059,24939
740,7.37761,24939
741,7.38455,24939
742,7.39153,24939
743,7.39859,24939
744,7.40583,24939
745,7.41271,24939
746,7.41986,24939
747,7.42682,24939
748,7.43372,24939
749,7.44079,24939
750,7.44779,24939
751,7.45469,24939
752,7.46177,24939
753,7.46879,24939
754,7.47568,24939
755,7.48278,24939
756,7.48987,24939
757,7.49691,24939
758,7.50418,24939
759,7.51127,24939
760,7.51819,24939
761,7.52528,24939
762,7.53242,24939
763,7.53935,24939
764,7.54661,24939
765,7.55321,24939
766,7.56048,24939
767,7.56794,24939
768,7.5749,24939
769,7.58203,24939
770,7.58911,24939
771,7.59617,24939
772,7.60327,24939
773,7.61062,24939
774,7.61745,24939
775,7.62448,24939
776,7.63185,24939
777,7.63876,24939
778,7.64614,24939
